GenotypeID,Days to pollen,Days to silk,Root lodging rate,Stalk lodging rate,Leaf length,Leaf width,Plant height,Leaf number,Number of nodes with brace roots,Branches per tassel,Tassel length,Tassel branch zone length,Tassel spike length,TotalGrainMassGrams_NEmean,Yield_MImean
11430,69.4026341761198,71.6295010733737,5.36415749992896,0.675404257665594,78.2045618664749,8.62200765088397,180.020590501509,11.6303735282918,1.55931164387455,7.18747278124915,36.6349375043665,10.7586388339159,26.0340000729608,551.988611104221,756.553813588222
1538,65.4100346324279,65.9591878289583,-6.9692922930402,25.9248096217725,73.1459138754507,6.49438399708161,173.901014500374,11.8222630402977,0.992152618260248,6.95189461998184,32.8129113053991,7.45122254459976,25.0912544401512,512.187853751304,531.162242656276
2369,73.4809757597392,76.0636649624051,-3.62280188397045,1.1119945122938,74.6609480059567,8.32914649798661,201.665185371966,13.9951426921751,0.969975704210497,5.68950246133391,26.9446645783303,6.0881720405406,20.7253461677663,792.811829525673,685.505571340658
29MIBZ2,64.9357273806834,67.1485842250006,-1.32574885376791,-0.898464242269937,76.6937104813848,8.3564740776618,157.62552744727,10.5026045674201,1.335402841719,8.91500864625996,31.927027614781,9.44295115453113,22.4914267899186,605.394915561733,537.63997708165
2FACC,70.2839295169973,71.3310997100265,61.6330873969825,-1.02284314666258,75.3789532107652,7.94971616758565,186.67008311261,13.4694679795563,2.00562181717869,6.97786302782529,28.2773891930944,6.38292393376725,21.9391326969854,615.780261642565,616.912442840962
2FADB,70.3441812573814,71.3449714891266,99.303312334686,-0.506044731031478,76.9499982958294,8.39133163649054,194.66960987233,14.0734531113044,1.56133291976071,7.16867762738045,25.9082309806771,6.21025414913965,19.544585900418,710.215110390403,500.687719600758
2MA22,68.6465083843353,76.4486478120217,84.6592422259731,-1.82557012362041,84.068040387986,7.47776992099198,174.232957549066,10.9047061311929,1.19621782665318,4.7431888228329,34.2767503171194,8.05625627882413,26.6700654496569,649.364298267517,541.6447978786
2MCDB,68.8671227995745,69.3364442732857,7.89478657216916,50.8602383981466,74.9952447733579,8.15705918385905,186.169128944956,10.6078131128472,1.03903641760216,9.63026229420759,30.4280393043548,7.37379464022849,23.3164819768008,593.879594663874,632.512064611086
33-16,77.6776524791227,80.9052657661062,-7.41258455341643,-0.621241191382526,78.2509795734147,8.43304980613428,196.651913455739,13.3697251058371,0.89994202615871,15.2784430551308,33.9092588378891,11.6151615887573,22.0196464747693,311.602124947666,194.887687821764
38-11,81.5555077072715,86.1916626725507,68.9551546280273,22.6033067217328,91.899911285921,7.01512628555619,223.003197157834,15.4159564270752,2.18103106894707,11.9236275468684,38.6858968213277,12.458884235704,26.6367523147034,388.614324509154,488.650987668902
