GenotypeID,DaysToPollen_NEmean,DaysToSilk_NEmean,RootLodgingPct_NEmean,StalkLodgingPct_NEmean,LeafAngle_NEmean,PoorGerm_NEmean,PotentialPollenContamination_NEmean,EarsPerPlant_NEmean,CobWeightGrams_NEmean,HundredKernelMassGrams_NEmean,GrainPercentMoisture_NEmean,EarLengthCM_NEmean,EarWidthCM_NEmean,EarFilledLengthCM_NEmean,KernelRowNumber_NEmean,KernelsPerRow_NEmean,PercentFill_NEmean,SouthernRustSeverityScore_NEmean,LeafAreaIndex_NEmean,LeafLengthCM_NEmean,LeafWidthCM_NEmean,PlantHeightCM_NEmean,NodesWithBraceRoots_NEmean,TillersPerPlant_NEmean,BranchesPerTassel_NEmean,TasselLengthCM_NEmean,BranchZoneLengthCM_NEmean,TasselSpikeLengthCM_NEmean,TotalGrainMassGrams_NEmean,LeafNumber_NEmean
LH218,76.5,77.5,0,0,35.15,0,0,1,21.63,33.63,8.45,18.125,3.795,17.33,10,32,95.6,1.25,2.89,76.625,9.75,206.5,1.83,0,4.165,36.05,6.165,29.88,776.25,13.75
LH220Ht,72,73,0,50,34.5,0,0,1.0625,14.215,19.89,NA,16.29,3.75,15.5,14.835,31.665,95.15,2.5,3.82,78.625,6.775,159.75,1,0,4.665,25.815,4.865,20.95,554.8,13.665
LH222,68.5,68,0,5,NA,0,0,1,13.32,26.095,7.5,15.125,3.71,13.71,13.665,29.665,90.65,2.5,3.475,70.5,7.175,148.75,1.83,0.165,5,28.715,4.8,23.915,583.7,12.625
LH223,68,70,0,30,NA,0,0,1,11.385,21.015,NA,13.835,3.71,12.54,13.335,26.415,90.65,2.5,3.825,74,7.375,153.75,1.335,0,7.835,29.965,7.785,22.18,487.35,13.415
LH224,73.5,75,0,0,31.65,0,0.5,1,15.19,26.53,7.9,15,3.625,14.79,12.665,25,98.6,3.25,3.58,76.875,6.925,181.25,1.5,0,7.665,29.835,6.435,23.4,526.65,14.75
LH225,66,68,50,0,NA,0,0.5,1,11.985,23.115,9.2,14.27,3.94,13.185,14.33,27.375,92.55,4,3.525,74.125,7.8,164.75,2.5,0,6.335,26.565,6.18,20.385,519.65,13.4175
LH231,71,71.5,0,0,29.95,0,0,1,17.265,25.465,7.2,13.75,4.165,11.875,15.25,26.58,86.45,2,3.735,81.875,7.825,163.25,1.33,0,5.17,30.37,7.65,22.715,731.3,12.875
LH250,76.5,77.5,0,0,29.9,0,0,1.0625,19.675,29.255,8.45,11.75,4.29,11.335,14.33,22.25,96.45,1.5,4.645,74.125,10.05,196,1.5,0,7.665,32.665,6.15,26.515,685.2,14.375
LH252,79,86,100,0,31.9,0,0,1,18.965,32.175,NA,16.625,3.46,15.165,11.17,21.665,91.2,2,3.16,84.125,9.6,219,2.165,0,7,37.3,7.9,29.4,407.35,13.625
LH260,71,71,80,0,16.6,0,1,1.125,7.81,29.17,8.4,11.5,3.75,10.08,11,17.17,87.7,2,3.2,92,11.1,NA,1.33,0,4.33,30.73,6.7,24.03,339.1,14.33
LH284,74.5,75.5,60,0,NA,0,0,1,14.92,22.265,8.1,13.835,3.915,13.5,14,32.915,97.6,2,3.08,78.25,8.125,170.5,1.665,0,4.335,31.535,5.2,26.335,589.3,13
LH299,67.5,68,0,0,36.6,0,0,1,10.04,19.09,7.65,12.17,3.665,11.42,16.585,25.085,93.9,2.5,3.25,62.75,9.5,138.5,1.5,0.165,1.165,32.765,0.365,32.4,530.25,11.4575
LH38,70,71,0,0.5,28.6,0,0,1,11.12,26.135,8.9,12.46,3.79,12.205,14,26.5,97.95,2.5,3.32,75.25,8.7,156.5,1.33,0,7.5,27.185,8.65,18.53,695.3,12.0425
LH39,70,70,10,12.5,NA,0,0,1,16.73,18.155,8.5,15.25,3.71,14.085,13.75,27.75,92.35,NA,3.54,76.25,8.725,155.75,1.915,0,7.335,30.12,8.67,21.45,509.7,11.915
LH51,71,71,0,2.5,40,0,0,1,11.91,35.95,8.1,17.75,3.04,16.795,10,28.25,94.65,1.75,2.435,76,8.175,170.25,1.5,0,7,37.6,8.835,28.765,717.85,12.8325
LH52,68,67.5,5,0,30.15,0,0.5,1,11.025,20.715,7.25,14.5,3.29,14.04,9.5,30.085,96.8,1.75,2.78,60,8.95,158,0.5,0,3.33,34.685,4.485,30.2,531,13
LH54,69.5,73,0,0,36.4,0,0,1.0625,11.845,29.6,NA,17.75,3.875,15.545,10.165,25.33,87.8,1.25,NA,62.25,7.8,136.25,2.165,0,4.085,36.09,6.36,29.735,589.9,11.375
LH57,68.5,72.5,0,0,NA,0,0,1,5.8,22.2,8.5,14.835,3.5,14.375,10.165,32.25,96.9,1,3.535,71.5,8.4,150,1.835,0,6.165,80.535,8,72.535,505.95,11.5825
LH59,72.5,74.5,0,0,25.55,0,0,1,12.43,23.765,8.35,18.835,3.415,16,11.335,38.33,85,1.75,3.82,74.75,9.325,171.25,1.835,0,5.83,31.765,6.52,25.25,751.65,12.25
LH60,77,77.5,97.5,0,22.55,0,0,1,16.45,23.9,8.4,14.25,3.875,13.125,13.665,27.415,92.1,1.5,4.19,72.375,8.3,181.75,1.335,0,3.33,30.265,3.25,27.015,660.5,13.3325
LH61,66,68,95,0,NA,0,0.5,1,16.785,26.595,8.25,17.29,3.915,16.835,11.835,28.58,97.35,1.25,3.19,67,9.225,159,1.165,0,5.665,33.065,7.88,25.185,645.1,12.0825
LH74,70.5,70,2.5,0,NA,0,0,1,13.09,20.79,NA,15.295,3.915,14.415,13.915,29.915,94.2,1.75,3.975,78.2,7.575,171,1,0.5,6.25,27.625,6.51,21.115,576.15,13.04
LH82,69,70,0,10,18.35,0,0,0.9375,9.475,17.075,8.2,11.67,4.045,9.46,20.165,21.92,81,1.5,3.28,69,9.4,140.5,1,0,7.5,32.565,7.365,25.2,528.3,11.9575
LH93,72.5,76.5,0,3.5,14.65,0,0,1,13.365,17.84,8.2,14.58,3.625,14,13.415,29.42,96,3.25,2.795,72,8.3,169.75,1,0,6,35.07,10.48,24.58,514.9,11.96
LIBC_4,65.5,67,0,0,50.65,0,1,1.0625,12.61,22.4,7.9,16.5,3.96,14.25,14,24.5,86.4,3.5,4.495,75.625,8.8,155.5,0.335,0,4.335,29.48,8.22,21.27,653.5,12.0425
LP1_NR_Ht,72,75.5,0,25,38.5,0,0,1,22.4,22.69,8.25,18.165,3.75,14.875,14.5,26.665,81.9,3.75,NA,88,7.3,182.5,1.5,0,9.17,32.035,8.365,23.67,522.4,13.9175
Lp215D,68.5,72,75,0,42.85,0,0,1,17.455,34.225,NA,15.75,3.665,13.125,12.92,20.085,83.2,NA,4.01,72.625,9.575,166.5,1.5,0,3.165,37.95,7.015,30.935,561.8,12.2925
LP5,70,72,5,0,18.7,0,0.5,1,15.18,20.295,8.55,12.75,4.335,12.125,18.165,26,95,1.25,4.415,75.875,8.225,161.25,1.5,0,4.165,30.67,7.1,23.57,642.25,13.2075
M14,71.5,73,0,80,58,0,0.5,1,12.645,23.7,8.05,14.75,3.795,13.71,14.33,25.915,92.9,1.25,4.05,72,8,158.75,1,0,10.83,33.915,10.63,23.285,488.1,12.5
M162W,90,89,0,2.5,43.45,0,0,1.125,10.915,39.32,NA,10.42,4.04,9.205,13.415,15.665,88.45,1.25,5.2,69.875,9.425,175.75,NA,NA,NA,NA,NA,NA,467.45,16.8325
M37W,84,88.5,0,50,37.55,0,0,1.0625,7.23,21.005,NA,11.25,3.125,9.46,10.665,17.165,83.8,1,4.155,92,9.175,208.75,1.335,0,11.67,39.27,12.5,26.77,233.6,15.6675
MBPM,77,77,0,0.5,30.5,0,0,1,11.545,18.08,9,14.125,3.545,13.625,15.665,25.75,96.45,2.25,3.3,68.625,8.45,187.5,0.665,0,5.5,30.6,6.95,23.65,520.1,13.75
MBST,72,74,0,26,22,0,0,1,13.555,25.69,8.8,15.835,3.875,15.375,13.17,30.835,97.1,1.5,4.675,83.875,8.1,171.25,1.415,0.5,NA,NA,NA,NA,712.95,12.375
MBWZ,76,76.5,0,0,23.55,0,0,1,15.63,22.875,7.45,15.5,4.165,14.455,14.915,31,93.25,3,3.22,84.375,8.225,200,1.165,0,9.83,30.25,6.55,23.7,728.4,14.915
MEF156-55-2,62.5,62.5,100,0,NA,0,0,0.8125,3.76,22.945,NA,8.585,2.46,5.335,7,5.75,62.05,NA,NA,65.55,7.075,149,1.165,0,11,30.7,7.165,23.535,66.4,12.665
MM501D,76.5,79.5,50,1.5,31.9,0,0,1,10.445,24.205,8.4,12.17,3.96,12.125,14,26.165,99.65,2,4.21,80.75,9.075,148.75,1.165,0,5.5,25.715,5.085,20.635,625.3,13.5825
Mo13,85,90,0,5,10.9,0,0,1,8.21,22.03,9.4,11.92,3.25,11.5,11.67,23.5,96.5,2,3.61,82.5,9,197.5,1,0,12.33,30.67,7.07,23.6,336.4,15.835
Mo15W,77,81,100,1,29.05,0,0,1,15.165,23.975,NA,12.205,3.83,11.665,13,23.665,95.6,3.25,3.415,79.5,8.525,186,0.67,0.165,18.165,27.585,9.62,17.965,432.8,15.4575
Mo16W,80,79.5,50,0,30.45,0,0,1,30.395,29.195,NA,8.665,5.04,7.54,17.665,12.42,87.55,1,3.485,95.25,8.075,190,1.665,0,9.835,31.1,10.22,20.88,303.75,16.7925
Mo17,73,78,50,10,39.25,0,0,1,11.745,31.875,7.95,17.165,3.335,15.835,10.165,24.75,92.25,1.75,2.55,71.625,8.175,186.75,1.335,0,4.335,33.215,5.515,27.7,606.4,12.585
Mo1W,74,76.5,50,7.5,NA,0,0,1,14.115,22.25,9.05,10.335,3.83,9.205,16.165,24.42,88.95,1.5,4.03,74,9.05,180,1.335,0,15,32.85,13.05,19.8,517.15,15.04
Mo23W,86,88.5,0,75,33.4,0,0,1,16.915,34.345,NA,11.835,3.875,10.085,12.415,14.67,85,1.5,2.915,94,8.325,202.75,NA,NA,NA,NA,NA,NA,251.8,16.625
Mo24W,77,83,100,0,20.9,0,0,1,32.76,23.41,NA,16.08,4.5,14.25,15.33,32.83,88.6,4,NA,94.25,8.85,186,3.33,0,16.33,36.03,18.37,17.67,556,15.25
Mo28W,81,87,20,0,16.3,0,0,0.875,9.49,26.88,NA,11,3.67,10.75,13.33,27.17,97.7,2,4.14,79.5,7.7,194,0.33,0,14.33,33.5,9.17,24.33,395.6,15.585
Mo3,81,84.5,0,0,41.3,0,0,1,16.87,20.9,NA,14.75,3.915,10.455,15.585,21,70.6,1,4.38,90,7.75,237.75,1.67,0,16.665,32.4,11.45,20.95,369.9,16.085
Mo39,79,78.5,100,0,49.8,0,0,1,13.79,25.3,NA,13.705,3.915,12,13.085,26.165,87.55,0.5,3.955,85.125,8.5,NA,1.335,0,5.5,33.8,7.665,26.135,567.05,14.165
Mo44,78.5,80,10,0,NA,0,0,1,17.385,24.825,7.75,16,3.75,14.165,14.585,25.83,88.65,1.25,2.845,94.5,7.5,208.5,1.165,0,9,38.715,12.57,26.15,470.3,16.25
Mo45,78,80,50,90,20.75,0,1,1.1875,17.92,19.685,NA,16.835,3.415,14.42,12.415,22.92,85.6,3,NA,96.75,8.05,185.75,2.165,0,11.165,37.6,12.15,25.45,450.85,14.5
Mo46,67,71.5,0,0,NA,0,0,1,17.515,27.895,NA,11.835,3.915,11.625,12.17,19.585,98.15,2.5,3.7,73.875,8.95,178.75,1.165,0,12,28.235,9.65,18.58,450.3,11.54
Mo47,74.5,76.5,50,5,NA,0,0,1,13.185,20.3,NA,12.045,3.5,11.165,14.915,20.17,92.7,1,4.565,94.25,8.075,171.75,1.5,0,12.83,35.45,11.8,23.65,393.15,12.7925
Mo5,78.5,78.5,0,0,37.3,1,0,1,22.22,18.44,8.3,16.275,3.965,14.615,16.015,30.915,89.75,2.25,NA,75.375,9,142.5,0.835,0.335,10.67,34.115,7.585,26.53,567.55,15.085
Mo7,82,89,100,0,24,0,0,1,6.35,34.55,NA,10.67,3.33,9.5,8.83,10.33,89,4,4.52,87.75,8.45,188,2,0,16.33,26.1,10.73,15.37,163.7,15.75
MoG,80.5,85,97.5,0,36.4,0,0,1,14.205,23.555,NA,11.585,4.045,10.335,17,18.585,89.9,2.5,2.82,79,12.4,199.75,3,0,16.335,34.95,11.915,23.035,394.6,15.5
Mp339,84,86,0,50,31,0,0,1,12.15,31.49,NA,11.58,3,8.07,10.83,9.33,69.7,1,3.78,63,9.5,194,1,0,4.67,30.07,5.4,24.67,159.7,14.835
MQ305,67.5,66.5,0,0,NA,0,0,1,11.9,24.65,NA,13.085,3.71,12.125,13,23.42,92.65,2.5,2.91,71.5,7.875,165,1,0,8.835,25.45,8.385,17.065,511.35,10.5
MS106,71,74,0,2,NA,0,0.5,1,15.515,20.8,NA,14.46,3.96,13.835,14.5,23.75,95.7,2,3.46,65.625,7.225,141.75,1.335,0,9.335,34.415,11.485,22.93,459,12.25
MS116,66.5,74.5,50,0,NA,0,0,0.8125,8.365,23.965,NA,9.49,3.6,8.85,12.35,18.065,92.95,NA,3.82,74.75,9.5,179.5,0.5,0,12.165,30.135,6.55,23.585,216.1,12.415
MS132,77.5,77.5,100,0,NA,0,0.5,1,15.255,21.825,8.15,14.165,3.33,13.21,14.08,23.085,93.3,3,4.335,72.625,8.9,155,1.83,0,11,32.23,10.835,21.4,423.4,14.2925
MS1334,63,62.5,20,0,NA,0,0,1,15.74,24.73,NA,13.545,3.585,12.835,13.25,23.5,94.75,1.75,2.08,67.5,7.35,175.75,1,0,8.67,34.415,10.8,23.615,454.95,11.415
MS142,65.5,63.5,5,10,NA,0,0.5,1,12.445,26.135,NA,13.83,3.375,11.96,13.335,24.335,86.45,NA,2.335,59.125,7.075,154,0.835,0,11.165,33.115,9.22,23.9,503.8,11.375
MS153,68,70.5,0,2.5,35,0,0,1,11.76,25.83,8.6,13.625,4,10.165,14.165,23.25,74.6,0.75,3.29,68.625,8.4,154,1.835,0.165,27,34.965,12.02,22.95,481.9,13.54
MS200,66.5,72.5,50,40,NA,0,0,1,8.82,20.495,NA,10.46,4.04,9.96,17.25,24.25,95,2.25,3.925,69.5,7.025,NA,1.5,0,17.665,24.1,11.8,12.3,555.6,12.5825
MS221,75.5,76.5,0,0,33.9,0,0,1.0625,14.39,21.935,8.15,16.29,3.79,14.665,15.665,27.08,90.05,2,4.06,64.875,7.95,159.5,0.5,0,7.835,27.13,6.5,20.63,657.55,13.96
MS222,69.5,70.5,0,0,34.75,0,0,1,14.265,19.225,8.4,17.335,4,15.75,15.165,31.915,90.85,2.25,4.465,72.375,7.9,166.25,0.835,0,8.335,26.45,7.44,19.01,643.65,14.0425
MS223,72.5,74,45,7.5,24.8,0,0,1,17.39,26.475,7.35,13.375,3.92,12.04,13.08,22.585,89.75,3,3.7,87,8.2,199.25,0.67,0,12,34.125,9.665,24.46,529.8,14.29
MS224,73.5,79.5,100,0,47.25,0,0,1,17.36,23.01,NA,18.54,3.835,17.29,12,28.08,93.25,1.75,NA,78.625,8,197.5,2.335,0,11.5,35.465,11.05,24.415,519.3,14.21
MS225,70,77,80,40,38.2,0,0.5,0.8125,24.525,32.02,NA,19.665,3.74,14.36,11.165,25.65,71.8,3,NA,83.75,8.325,184.25,3,0.165,19.5,36.28,14.45,21.83,395.45,14.54
MS226,71.5,71,25,52.5,38.55,0,0,1,12.985,22.825,7.9,14.58,3.71,13.545,13.75,25.75,92.9,3.5,3.375,73,7.425,185,1,0,3.5,27.485,5.8,21.685,541.6,13.7925
MS24A,65,67,100,0,32.5,0,1,1,8.4,20.19,8.6,12.17,4,11.67,16,25.17,95.9,NA,3,94.5,9.5,139,1.67,0,16.67,27.97,10.97,17,591.6,12.75
MS67,76.5,79,25,50,NA,0,0,1.0625,13.75,16.54,8,15.915,3.04,14.375,13.165,24.835,90.35,2,3.66,63.125,10,139,0.335,0,18.335,28.585,7.815,20.765,384.2,13.5425
MS71,71,75.5,1,2.5,NA,0,0,1,18.16,19.255,8.4,14.665,3.625,13.875,15,26.165,94.45,1.75,3.59,79.625,9.1,174.25,1,0,10.5,31.96,10.49,21.465,517,13.5
MS72,67.5,72.5,52.5,0,47.25,0,0,1,8.75,26.98,NA,11.75,3.46,8,9.83,16.75,67.95,2,3.73,74.375,8,183,1.165,0,13.335,31.07,7.865,23.2,408.1,13.875
Mt42,62,63.5,0,100,NA,0,0.5,1,7.53,13.18,NA,11.665,3.085,11.085,12.835,24.915,94.95,NA,3.43,64.275,7.85,124.75,0.335,0,10.335,24.35,7.715,16.63,298.1,10.9575
N192,68,70,0,0,18.7,0,0,1,16.7,26.675,8.05,15.29,3.915,13.545,14.5,23.415,88.55,2.75,3.465,79,8,161,2.835,0.335,5.83,29.265,7.97,21.3,684.55,13.75
N193,69,72,100,0,NA,0,0,1,13.24,20.235,7.7,11.33,4.29,10.92,21.67,24.5,96.25,1.75,NA,81.5,7.75,172.5,2.335,0,8.165,34.835,8.425,26.41,679.95,14.2075
N199,76,77,50,0,36.7,0,0,1,17.175,23.66,8.35,15.25,4.125,14.04,13.33,27.25,92.05,1,4.26,87.25,7.6,198.75,2.165,0,2.665,29.435,3.865,25.565,596.6,16.665
N200,78,83,65,0,29.4,0,0.5,1,12.385,27.45,NA,15.165,3.585,14.375,12.83,25.5,94.8,1,4.055,87,8.95,183,1.165,0,4.17,33.05,4.95,28.1,448.9,15.625
N201,76.5,77,2.5,10,34.1,0,0,1,16.305,21.965,8.6,13.085,4.335,11.75,16.75,26,90,1.75,3.905,79.75,7.35,209.5,2.835,0,7.335,28.08,8.535,19.55,684.3,14.7925
N209,73,75.5,15,5,44.75,0,0,1,17.175,17.465,9.05,14.335,3.83,13.375,19.335,30.5,93.15,0.5,NA,82.875,9.175,160,0.83,0,8.5,29.5,8.235,21.265,630.95,14.71
N215,76.5,77.5,51,0,31.25,0,0,1,15.05,25.2,7.85,11.835,4.21,10.25,18.58,19.5,86.75,1.75,3.975,82.375,9.825,180.5,0.335,0,14.83,30.185,9.4,20.785,574.4,13.4175
N217,77,77.5,25.5,0,33.6,0,0,1.0625,12.655,18.075,NA,14.29,3.5,13.545,13.835,30.085,94.75,1.75,3.545,80.5,6.275,162.5,1.33,0,7,32.865,9.75,23.12,514,13.54
N218,76.5,78,25,0.5,37.9,0,0,1,18.9,20.49,8.3,17.71,3.79,15.625,14.75,24.92,88.35,1.5,3.785,87.625,7.425,180,1,0,5.17,35.635,8.215,27.415,494.55,14.7075
N28,76,78,0,10,25.3,0,0,1,16.58,32.99,NA,11.5,3.75,7.5,14.33,7,65.2,2,4.6,78.25,7.4,192,2,0,11.67,28.6,10.17,18.43,174.1,15.835
N28Ht,77,77,0,95,52.1,0,0,1,16.42,20.55,8.8,13.67,4.08,12.67,17,28.17,92.7,2,5.27,76.5,8.2,180.5,1.33,0,10,28.83,8.27,20.57,604.1,14.335
N501,68.5,72.5,75,10,39.15,0,0,0.9375,13.565,31.3,NA,9.29,3.96,8.71,13.835,15.67,92.25,2.75,4.35,82.625,9.325,177.75,2,0,8.17,35.53,7.7,27.83,351.75,13.5825
N523,73,77.5,0,75,NA,0,1,1.0625,12.625,22.285,NA,11.17,4.42,9.835,15.67,23.835,88.05,1.5,3.465,87,7.75,203.25,1.67,0,9,28.25,6.985,21.27,510.85,14.835
N527,71.5,79,0,5,43.75,0,0,1,16.955,22.165,NA,13.045,4.165,11.42,14.75,21.335,87.55,2,4.91,91.875,7.5,164.25,1,0,11.5,36.135,17.315,18.815,397.75,13.7075
N534,74,78,0,57.5,58.95,0,0,1,12.345,25.425,NA,11.17,4.17,11.125,16.335,21.585,99.6,3.75,4.21,74,9.15,195,1,0.165,11.835,33.335,8.9,24.435,546.9,13.3325
N538,76,77.5,15,1,28.25,0,0,1,13.41,18.875,NA,14,3.46,13,14,26.665,92.95,1,4.035,86.25,7.875,172.75,0.335,0,9.665,32.465,8.83,23.635,502.5,13.375
N540,78,77.5,10,0,27.6,0,0,1,15.475,20.155,8.3,16.5,3.915,15,14.665,32.085,91,0.5,3.44,90.5,8.3,175.25,0.835,0,13,32.03,9.665,22.365,556.75,14.335
N542,74.5,76.5,0,16,37.9,0,1,1,16.82,31.705,NA,14.52,3.75,14.405,12.285,24.465,99.25,1.75,4.385,84.5,10.05,163,1.165,0,NA,NA,NA,NA,560.5,12.75
N545,80,83.5,95,0,21.5,0,0,1,12.34,NA,NA,14.045,3.335,13.67,13.665,24.25,97.35,0.75,3.65,85.125,8.325,189.25,0.5,0,13.33,32.765,9.92,22.85,425.1,14.3325
N6,71.5,76.5,90,0,27.6,0,0,1,18.995,29.81,NA,13.955,3.955,11.545,14.92,20.75,82,1.25,NA,72.375,5.725,160.25,1.5,0,16.665,30.7,11.05,19.65,550.65,14.625
N7A,75,78,0,0,36.55,0,0,1,12.31,31.055,8.85,11.455,4.125,9.5,13.665,18.75,83.05,2.75,3.865,81.75,7.975,183.5,1.335,0,11.335,26.985,7.75,19.235,557.1,14.75
NC13,80,89,0,50,14.1,0,0,0.875,9.86,26.87,NA,10,2.75,8.83,8.33,13.33,88.3,1.5,3.26,87.5,9.35,215,1.67,0,15,35.53,13.5,22.03,173.5,16
NC230,80.5,82,0,0,17.55,0,0,1,10.27,16.64,NA,11.165,3.79,9.92,16.085,25.165,88.65,0.25,4.735,76.125,10.7,164,1.165,0,12,30.85,11.165,19.685,365.5,16.1675
NC232,81,85.5,50,30,32.2,0,0,1,18.035,17.94,8.25,12.25,4.415,10.5,19.915,24.25,85.7,3.25,NA,73.625,9.3,164.25,1.835,0,16.67,33.135,12.385,20.75,540.3,15.5425
NC236,80,81.5,0,92.5,15.45,0,0.5,1,9.73,22.14,NA,12.415,3.25,7.625,9.83,17.17,61.35,2,4.325,76.75,8.875,160.75,1.835,0,15.835,33.47,12.735,20.735,284.5,14.0425
NC250,77.5,78,5,50,38.1,0,0,1,15.61,22.865,NA,11.835,3.79,11.33,14.165,22,95.7,0.75,4.63,64.875,6.525,156.75,1.165,0,3.665,27.985,16.585,11.4,444.95,14.875
NC258,81,84,100,0,24.25,0,0,1,13.16,27.37,NA,10.58,3.79,10.33,14.415,19.585,97.7,2,3.89,94,8.125,173.75,0.5,0,7.17,24.25,6.6,17.65,483.75,14.4175
NC260,77,81,50,0,30.5,0,0,1,15.015,24.18,NA,13.17,3.415,9.46,14,17.835,72.05,1.25,2.895,82.875,7.25,196.5,1.665,0,13,37.05,12.315,24.735,419.9,14.4575
NC262,71,77,0,10,22.2,0,0,1,10.575,27.46,NA,10.58,4.17,10.54,16.08,19.75,99.6,0,3.845,74.875,7.175,140,1,0,6,33.15,4.685,28.465,487.6,12.9575
NC264,79.5,81,0,2.5,28.45,0,0,1,11.48,22.47,8.55,12.83,3.915,12.71,13.92,26.915,99.1,2,4.175,82.375,8.2,184.5,1.165,0,17,33.835,10.15,23.685,557.15,14.5
NC290A,76.5,86.5,0,5,29.85,0,0,1,7.445,27.53,NA,9.415,3.46,7.835,13.085,13,83.5,0.25,4.16,81,7.125,163.25,1.165,0,8,33.6,7.6,26,285.85,14.125
NC294,78,81,0,40,30.6,0,0,1,11.695,22.925,NA,13.665,4.04,12.5,15.83,26.665,91.65,1,4.74,72.125,8.525,222.25,1.83,0,6.165,23.3,6.15,17.15,563.55,17.4575
NC298,81.5,82,35,1,34.05,0,0,1,8.175,25.495,NA,12.29,2.915,11.21,10.665,20.25,91,0.5,4.105,64.25,8.65,178.25,1.665,0,13.335,33.015,12.785,20.23,331.4,15.7075
NC302,78,80.5,50,0,24.1,0,0,1.0625,7.775,32.665,NA,12.83,3.5,12.335,10,19,96.15,0.75,3.225,79.25,8.425,164.25,0.835,0,12.165,31.8,10.2,21.6,385.25,14.71
NC304,83,86.5,65,0,24.95,0,0,1,9.48,25.715,NA,10.335,3.705,9.375,10.835,16.665,90.75,0.5,2.87,96.5,6.55,149.25,0.67,0,13.835,32.15,12.565,19.585,293.55,14.7925
NC306,76,78,0,5,27.5,0,0,1.75,8.16,25.61,8.3,11.92,3.67,11,12.17,19.17,92.3,1.5,4.69,77.25,8.8,202.5,1.67,0,10.67,26.17,7.17,19,560,17.085
NC310,77,77,0,32.5,35.3,0,0,1,13.845,16.835,7.75,12.915,4.125,11.665,19.58,26,90.65,1,4.22,83.25,8.425,188.5,2.67,0,11.83,27.68,8.665,19.015,553.65,15.125
NC318,80,81,2.5,0,20.6,0,0,1,8.335,20.09,NA,11.33,3.04,10.875,12.42,20,96.2,1.5,4.755,92,7.825,186,0.665,0,20.5,32.45,10.9,21.55,359.35,14.9575
NC324,76.5,81,10,1,37.8,0,0,1,8.985,24.615,NA,10.415,3,8.585,12.67,12.335,82.45,1.5,4.01,75.875,5.55,185,1.165,0,5.665,29.95,6.45,23.5,235.85,16.125
NC326,77.5,79,5,0,20.75,0,0,1,15.625,19.83,8.65,13.83,4.04,12.125,16.17,26.335,87.7,1.25,4.575,84.375,8.325,199,1.835,0,7.835,29.15,7.98,21.17,611.35,15.165
NC328,75.5,76,0,0,28.6,0,0,1,13.835,19.93,7.6,13.585,4.04,13.165,16.58,29.665,96.9,1.75,3.395,80,8.725,189.25,1.835,0,6,23.635,7.235,16.4,725.65,14.165
NC338,84,84.5,100,0,NA,0,0,1.4375,6.29,19.015,NA,9.125,3.08,8.5,12.25,15.585,93.15,1,3.415,58.625,8.85,177,1.67,0.165,12.67,24.95,10.95,14,288.95,14.04
NC340,86.5,89,0,1,18.25,0,0,1,9.54,37.54,NA,12,3.42,10.085,11,13.75,84.4,0.5,3.325,89.5,7.375,228,1,0,12.67,32.38,9.665,22.715,328.5,18.8325
NC342,75,77.5,52.5,0,24.6,0,0,1,15.305,24.33,8.05,13.955,3.75,13.29,14.25,24.415,95.2,0.5,3.9,84.125,9.025,190.25,1.33,0,8,32.035,7.565,24.47,550.55,15.7075
NC348,77,77.5,75,0,23.6,0,0,1,9.72,29.12,NA,14.165,3.335,12.75,10.665,21.415,90.15,0,3.96,75.25,8.25,197,1.17,0.165,11.335,31.115,10.365,20.75,365.55,15.6675
NC350,83,83,0,2.5,30.65,0,0,1,7.835,20.485,NA,11.21,2.585,9.585,12.335,16.085,85.4,0,3,102.875,6.975,176,1.335,0,14,37.515,15.28,22.235,216.05,15.1675
NC356,80.5,82,45,0,22.55,0,0,0.9375,7.31,20.415,NA,10.665,3.125,9.835,11.665,18.5,92.25,0.25,3.07,82.25,7.45,194.75,0.665,0,15,32.44,10.46,21.985,304.5,15.8325
NC358,79.5,81,100,2.5,16.65,0,0,1,13.035,21.225,NA,13.085,3.375,12.25,13,27.33,93.55,0.5,NA,67.25,8.9,168.25,0.335,0,13.165,23.465,7.1,16.365,564.7,15.4575
NC362,77,79.5,0,2.5,21.55,0,0,1,10.58,20.125,9.35,12.295,3.25,11.79,13.415,22,95.9,0.25,3.425,87.5,6.5,198,2,0,4.33,37.165,5.7,31.465,326.4,15.4175
NC364,74,77,100,0,NA,0,0,1,11.79,17.135,NA,11.585,3.585,11.375,15.5,25.915,98.2,1.5,NA,78.25,6.1,163.25,1.665,0,10.335,29.565,7.685,21.88,427.4,15.1675
NC368,78,80.5,40,2.5,26.4,0,0,1.125,11.195,34.895,8.45,9.915,4.335,9.25,14.08,15.25,93.4,0.5,4.32,82.5,9.525,205.25,2.335,0,9,22.985,7.2,15.785,434.15,17.29
ND167,61.5,62,75,0,NA,0,0,0.8125,7.775,12.33,NA,10.765,3.05,10.19,12.05,17.8,94.55,NA,NA,50.75,5.85,108.5,0.165,0,13,25.6,7.4,18.2,167.5,10.0425
ND245,62,64.5,50,0,NA,0,0,1.0625,10.315,17.12,NA,13.5,2.79,12.665,10.835,30.335,93.85,NA,2.87,61.625,7.175,164.25,1.17,0,11.83,28.085,11.07,17.015,422.5,11.9575
