GenotypeID,DaysToPollen_NEmean,DaysToSilk_NEmean,RootLodgingPct_NEmean,StalkLodgingPct_NEmean,LeafAngle_NEmean,PoorGerm_NEmean,PotentialPollenContamination_NEmean,EarsPerPlant_NEmean,CobWeightGrams_NEmean,HundredKernelMassGrams_NEmean,GrainPercentMoisture_NEmean,EarLengthCM_NEmean,EarWidthCM_NEmean,EarFilledLengthCM_NEmean,KernelRowNumber_NEmean,KernelsPerRow_NEmean,PercentFill_NEmean,SouthernRustSeverityScore_NEmean,LeafAreaIndex_NEmean,LeafLengthCM_NEmean,LeafWidthCM_NEmean,PlantHeightCM_NEmean,NodesWithBraceRoots_NEmean,TillersPerPlant_NEmean,BranchesPerTassel_NEmean,TasselLengthCM_NEmean,BranchZoneLengthCM_NEmean,TasselSpikeLengthCM_NEmean,TotalGrainMassGrams_NEmean,LeafNumber_NEmean
INBRED_141,73,75,0,97.5,18.55,0,0,1.0625,19.105,27.725,8.75,16.455,3.585,14.96,14,29.085,90.9,3.75,2.945,93.25,7.35,215.5,1.67,0.165,11.83,38.135,14.1,24.03,623.6,12.1675
INBRED_2-687,76.5,79,100,0,43.65,0,0,1,6.375,17.435,NA,8.125,3.705,8.045,17.165,18.665,98.85,0.5,NA,81.25,7.55,173,1,0,14.5,35.535,20.05,15.485,336.95,12.5425
INBRED_305,72.5,77.5,0,0,23.8,0,0,1,11.45,13.27,NA,10.67,3.915,8.705,19.585,21.585,82.05,1.75,3.545,69.55,9.025,140.25,1,0,16.835,26.58,7.35,19.235,285.85,11.3325
INBRED_309,75,83.5,5,0,14.3,0,0,1,10.44,17.01,NA,13.25,3.335,11.415,16.25,26.915,86.15,1.75,3.19,84.875,8.425,174.25,0.83,0,24.17,31.885,10.385,21.5,439.95,12.5825
INBRED_321,77,80,100,0,35.5,0,0,1.0625,8.68,22.155,NA,10.5,3.21,9.83,12.665,19.75,93.8,1.25,NA,82.875,7.975,NA,1.665,0,10.5,28.48,8.25,20.235,346,14.7075
J47,75.5,78.5,100,0,39.95,0,0,1,20.895,20.225,NA,13.415,3.665,12.875,14.17,29.5,95.85,3.5,NA,90.25,7.05,NA,1.165,0,8.33,38.715,9.085,29.63,553.9,13.5825
J8606,73,77,0,10,16.7,0,0,1,15.61,27.41,7.6,10.5,4,10.33,12.67,24.83,98.4,2.5,3.45,77.75,7.55,194.5,1.33,0,7.67,39.13,12.53,26.6,662.6,12.335
K148,77,82.5,50,49,27.25,0,0.5,1,12.08,17.47,NA,12.625,3.175,10.875,11,21.75,86.2,3,NA,83.375,6.825,161.75,2.335,0.165,12,30.515,9.52,21,224.95,13.54
K150,71,76.5,0,50,28.55,0,0.5,1.0625,18.025,30.43,NA,12.165,4.42,11.71,13.585,22,96.25,1.5,4.56,78,9.35,190.75,1.165,0,17.17,34.285,11.785,22.5,533.85,14.125
K155,79,82,50,50,29.5,0,0,1,15.78,24.42,NA,13.665,3.875,12.125,13,21.915,88.7,1,NA,74.75,8.3,210.5,0.335,0,25.335,28.93,16.2,12.735,530.6,14.7925
K201,81,82,50,30,37.85,0,0,1,14.025,31.96,8.45,12.335,3.83,11.83,11.92,24.25,95.9,1.75,4.58,74.5,9.425,211.5,1.835,0,15.165,27.3,10.77,16.535,643.6,16.46
K4,83.5,85,50,47.5,22.55,0,0,1,9.65,24.48,NA,13.92,3.29,11.33,11.75,17.75,81.45,1.5,NA,81.875,8.975,NA,1.835,0,22.165,31.585,11.335,20.25,254.15,15.125
K41,74,77.5,100,1,36.8,0,0,1,24.085,26.855,NA,13.915,3.79,12.58,14.585,18.75,90.45,1.75,3.76,76.25,8.575,184,1.335,0,20.165,40.05,15.785,24.27,419.75,13.71
K47,76,81,0,5,36.9,0,0,1,5.92,11.97,NA,17.17,2.875,16.33,12,37.085,95.1,2,3.665,86.375,8.9,169,1.835,0,13.83,39.63,14.515,25.115,332.1,12.875
K55,77,79.5,70,0,27.2,0,0,1,21.025,19.635,NA,13.73,4.21,12.645,15.585,29.42,92.2,2.25,4.56,73.75,7.975,158,0.67,0,15,31.92,7.55,24.365,559.35,14.2925
K64,79.5,80,100,0,29.8,0,0,1,17.15,25.685,8.6,12.71,4,11.79,14.17,25.5,92.75,0.5,NA,86,8,NA,0.665,0,12.5,32.415,7.65,24.765,644.3,15.9975
KO679Y,81,82,0,2.5,25.9,0,0,1.25,15.94,19.115,7.2,15.71,3.75,14.71,12.915,32.92,93.6,1.75,3.92,85.25,9.1,180.75,1.33,0,6.165,34.935,8.6,26.335,631.7,16.5425
KUNG-70,71.5,74,0,55,NA,0,0,0.875,11.015,15.975,NA,12.625,3.79,11.79,16.5,22.335,93.35,2.75,3.71,66.375,9.45,131,1.665,0,11.835,31.4,8.5,22.9,364.45,13.25
Ky21,82,89.5,97.5,46,15.8,0,0,1,11.26,23.685,NA,10.835,3.915,10.04,15.335,20.665,92.9,2.25,NA,76.5,10.55,197.5,2,0,20.835,31.935,15,16.93,393.55,16.3325
Ky226,78.5,81.5,100,0,53.6,0,0,1,18.65,24.59,NA,12.42,3.415,10.54,13.085,19.25,84.75,1.25,3.89,85,6.775,192,0.665,0,13.335,32.015,6.38,25.635,337.75,14
Ky228,79,86,0,0,28.3,0,0,1,13.51,24.62,8.4,13.42,3.58,12.17,12,24.33,90.7,1,3.26,89,8.15,203.5,2,0,19.33,27.73,9.4,18.33,425.4,15.585
L_127,66,67.5,0,0,39.8,0,0,1,12.96,23.965,NA,13.29,3.375,10.705,13,23.58,80.75,3.75,3.8,71.125,7.05,141.25,1.5,0,14.5,30.57,12.365,18.2,527.7,12.125
L_135,65,67.5,0,0,NA,0,0,1,10.605,22.545,8.35,13.46,3.75,12.835,12.835,27.165,95.4,2.75,3.28,74.65,8.075,147.5,0.335,0,12.33,31.1,12.815,18.28,534.75,11.125
L_139,69.5,70,0,0,26.65,0,0,1,13.415,29.74,8.75,12.79,3.955,10.375,15.5,18.5,81.1,2,4.3,77.75,7.95,190,2.665,0,7,31.185,7.05,24.135,589.2,13.375
L_155,68,69.5,0,0.5,NA,0,0,1,13.725,21.76,9.25,13.25,4.045,11.915,14.5,26.165,89.95,2,3.505,78.25,7.2,154,1,0,6.5,33.565,8.08,25.485,553.05,12.585
L_289,76,76.5,0,100,NA,0,0,1.125,14.34,29.67,7.45,14.205,3.795,13.29,11.415,24.165,93.6,0.5,NA,88.25,8.425,201.75,0.33,0,17.33,35.715,10.07,25.65,551.15,13.9575
L222,68.5,68.5,2.5,0,15.25,0,0.5,1,11.32,23.845,NA,13.915,3.54,12.75,12.5,26.085,91.65,1.25,2.03,75.25,7.375,164,1.665,0,2.665,26.75,5.42,21.335,525.3,10.875
L317,77.5,84.5,0,82.5,NA,0,0,1,17.125,25.675,NA,17.165,3.29,12.75,13.085,21.665,74.25,3.5,2.83,73.125,9.625,237.25,1,0,13.83,32.585,9.285,23.3,381.1,14.79
LH1,74,81,0,5,26.9,0,0,1,17.075,23.43,NA,13.415,3.735,12.8,14.735,24.315,95.45,1,4.355,75.625,8.825,142.5,0.25,0,5.5,32.365,6.99,25.375,559.1,13.5425
LH119,72,73.5,0,0,23.6,0,0,1.0625,17.615,20.08,8,13.585,4.085,12.165,16.5,28.165,89.75,2.5,4.025,77.625,8.15,170,1,0,7.665,34.2,10.635,23.565,787.85,13.4175
LH123HT,76,78.5,25,1,26.1,0,0,1,16.655,26.78,NA,14.625,4,13.04,13.33,23.75,89.35,3,3.675,83.125,8.05,190.5,2,0,7.165,33.335,8.535,24.8,511.75,15.125
LH127,67.5,67.5,0,0,32.95,0,0,1,14.915,24.685,8.75,14.585,3.795,13.79,10.585,34.835,94.55,1.75,3.97,72.5,8.15,169.5,1.5,0,3.835,38.07,6.75,31.315,644.9,12.79
LH128,74,75,0,0,29.3,0,0,1,12.535,26.265,8.4,12.955,3.58,12.295,13.17,25.415,94.9,2,3.025,74.375,7.55,167.75,1.835,0,6.67,31.4,7.985,23.415,656.3,14.0825
