Rep,GenotypeID,PI,Anthesis,AnthesisGDD,Silking,SilkingGDD,ASI_NEW,ASIGDD_NEW,Env
1,H14,Ames26774,86,1670.4,91,1807.4,-5,-137,MI2021
2,H14,Ames26774,90,1780.95,96,1899.5,-6,-118.55,MI2021
1,H14,GetFrom2021file,77,1640.5,89,1935.5,-12,-295,NE2020
2,H14,GetFrom2021file,77,1640.5,86,1879,-9,-238.5,NE2020
1,H14,Ames 26774,72,1505,79,1682.5,-7,-177.5,NE2021
2,H14,MN20_1603,73,1527,82,1762.5,-9,-235.5,NE2021
1,INBRED_100,PI186197,76,1562.6,94,1962.5,-18,-399.9,MI2020
2,INBRED_100,PI186197,77,1590.15,87,1790.1,-10,-199.95,MI2020
1,INBRED_100,PI186197,94,1862.45,94,1862.45,0,0,MI2021
2,INBRED_100,PI186197,92,1830.15,100,1994.55,-8,-164.4,MI2021
1,INBRED_100,GetFrom2021file,79,1699.5,86,1879,-7,-179.5,NE2020
2,INBRED_100,GetFrom2021file,85,1857.5,89,1935.5,-4,-78,NE2020
1,INBRED_100,PI 186197,79,1682.5,84,1822.5,-5,-140,NE2021
2,INBRED_100,EL19_6447-23,78,1657.5,83,1792.5,-5,-135,NE2021
1,K148,Ames27122,68,1421.3,74,1519,-6,-97.7000000000001,MI2020
2,K148,Ames27122,70,1462.2,84,1742.2,-14,-280,MI2020
1,K148,Ames27122,89,1754.5,93,1846.25,-4,-91.75,MI2021
2,K148,Ames27122,89,1754.5,93,1846.25,-4,-91.75,MI2021
1,K148,GetFrom2021file,77,1640.5,81,1760,-4,-119.5,NE2020
2,K148,GetFrom2021file,77,1640.5,84,1834,-7,-193.5,NE2020
1,K148,Ames 27122,76,1600.5,83,1792.5,-7,-192,NE2021
2,K148,MN20_1673,74,1551,80,1705.5,-6,-154.5,NE2021
1,Ky21,Ames27130,77,1590.15,94,1962.5,-17,-372.35,MI2020
2,Ky21,Ames27130,77,1590.15,85,1757.95,-8,-167.8,MI2020
1,Ky21,Ames27130,95,1879.25,97,1923.15,-2,-43.9000000000001,MI2021
2,Ky21,Ames27130,91,1807.4,92,1830.15,-1,-22.75,MI2021
1,Ky21,GetFrom2021file,81,1760,88,1920.5,-7,-160.5,NE2020
2,Ky21,GetFrom2021file,83,1808,91,1969,-8,-161,NE2020
1,Ky21,Ames 27130,84,1822.5,84,1822.5,0,0,NE2021
2,Ky21,EL19_6263,79,1682.5,84,1822.5,-5,-140,NE2021
1,Ky228,PI587136,75,1536.1,81,1675.1,-6,-139,MI2020
2,Ky228,PI587136,79,1632.3,NA,NA,NA,NA,MI2020
1,Ky228,PI587136,92,1830.15,99,1970.5,-7,-140.35,MI2021
2,Ky228,PI587136,91,1807.4,106,2153.25,-15,-345.85,MI2021
1,Ky228,GetFrom2021file,79,1699.5,86,1879,-7,-179.5,NE2020
2,Ky228,GetFrom2021file,80,1730.5,93,2022.5,-13,-292,NE2020
1,Ky228,PI 587136,78,1657.5,80,1705.5,-2,-48,NE2021
2,Ky228,EL19_6412-2,79,1682.5,83,1792.5,-4,-110,NE2021
1,L317,NSL65873,70,1462.2,84,1742.2,-14,-280,MI2020
2,L317,NSL65873,72,1488.75,84,1742.2,-12,-253.45,MI2020
1,L317,NSL65873,88,1725.55,93,1846.25,-5,-120.7,MI2021
2,L317,NSL65873,90,1780.95,99,1970.5,-9,-189.55,MI2021
1,L317,GetFrom2021file,77,1640.5,83,1808,-6,-167.5,NE2020
2,L317,GetFrom2021file,78,1669,86,1879,-8,-210,NE2020
1,L317,NSL 65873,79,1682.5,83,1792.5,-4,-110,NE2021
2,L317,EL19_6828-23,75,1574.5,83,1792.5,-8,-218,NE2021
1,LH252,PI585227,70,1462.2,81,1675.1,-11,-212.9,MI2020
2,LH252,PI585227,74,1519,81,1675.1,-7,-156.1,MI2020
1,LH252,PI585227,88,1725.55,96,1899.5,-8,-173.95,MI2021
2,LH252,PI585227,83,1605.15,95,1879.25,-12,-274.1,MI2021
1,LH252,GetFrom2021file,79,1699.5,86,1879,-7,-179.5,NE2020
2,LH252,GetFrom2021file,79,1699.5,86,1879,-7,-179.5,NE2020
1,LH252,PI 585227,77,1629,83,1792.5,-6,-163.5,NE2021
2,LH252,EL18_2869,77,1629,84,1822.5,-7,-193.5,NE2021
1,Mo24W,PI587144,70,1462.2,78,1612.9,-8,-150.7,MI2020
2,Mo24W,PI587144,70,1462.2,88,1812.45,-18,-350.25,MI2020
1,Mo24W,PI587144,91,1807.4,96,1899.5,-5,-92.0999999999999,MI2021
2,Mo24W,PI587144,90,1780.95,94,1862.45,-4,-81.5,MI2021
1,Mo24W,GetFrom2021file,78,1669,83,1808,-5,-139,NE2020
2,Mo24W,GetFrom2021file,77,1640.5,83,1808,-6,-167.5,NE2020
1,Mo24W,PI 587144,74,1551,81,1733,-7,-182,NE2021
2,Mo24W,EL19_6303,78,1657.5,83,1792.5,-5,-135,NE2021
1,Mo28W,Ames28928,73,1502.8,92,1907.7,-19,-404.9,MI2020
2,Mo28W,Ames28928,77,1590.15,100,2077.55,-23,-487.4,MI2020
1,Mo28W,Ames28928,92,1830.15,95,1879.25,-3,-49.0999999999999,MI2021
2,Mo28W,Ames28928,91,1807.4,98,1947.1,-7,-139.7,MI2021
1,Mo28W,GetFrom2021file,81,1760,87,1900,-6,-140,NE2020
2,Mo28W,GetFrom2021file,83,1808,93,2022.5,-10,-214.5,NE2020
1,Mo28W,Ames 28928,78,1657.5,86,1869,-8,-211.5,NE2021
2,Mo28W,EL19_6526-1,79,1682.5,87,1887.5,-8,-205,NE2021
1,Mo30W,Ames28930,71,1476.5,NA,NA,NA,NA,MI2020
2,Mo30W,Ames28930,70,1462.2,NA,NA,NA,NA,MI2020
1,Mo30W,Ames28930,88,1725.55,101,2020,-13,-294.45,MI2021
2,Mo30W,Ames28930,90,1780.95,104,2095.6,-14,-314.65,MI2021
1,Mo30W,GetFrom2021file,77,1640.5,NA,NA,NA,NA,NE2020
2,Mo30W,GetFrom2021file,76,1615,91,1969,-15,-354,NE2020
1,Mo30W,Ames 28930,74,1551,91,1985.5,-17,-434.5,NE2021
2,Mo30W,EL19_5845,77,1629,94,2062.5,-17,-433.5,NE2021
1,Mo5,PI558523,83,1722.3,74,1519,9,203.3,MI2020
2,Mo5,PI558523,71,1476.5,72,1488.75,-1,-12.25,MI2020
1,Mo5,PI558523,82,1585.25,86,1670.4,-4,-85.1500000000001,MI2021
2,Mo5,PI558523,90,1780.95,92,1830.15,-2,-49.2,MI2021
1,Mo5,GetFrom2021file,79,1699.5,79,1699.5,0,0,NE2020
2,Mo5,GetFrom2021file,78,1669,78,1669,0,0,NE2020
1,Mo5,PI 558523,78,1657.5,79,1682.5,-1,-25,NE2021
