GenotypeID,Yield_NEmean,Yield_MImean,Yield_NEpredicted
B107,553.451024803623,554.427771029484,579.435952835319
6M502A,501.419016493125,733.220478829552,493.338598673009
LH212Ht,537.253774056982,527.18101384134,558.900852877785
CM7,301.271280890357,308.257975083036,318.017977646936
PHV53,469.511536713929,472.4998487667,469.591196976019
LH218,780.258321915914,774.281370074372,720.794309296291
PHW30,671.037621419606,606.218303420716,620.719129925468
R177,106.867562351296,317.038044815294,302.898561447241
PHKM5,458.40853934499,312.20426807977,455.457228202761
A619,558.150102609466,499.553444184326,554.509656067333
A239,530.340606097819,410.911091551348,565.605533249187
L_127,517.751220728706,507.500241399562,513.397152760537
U_123,336.525500284074,284.565537729128,331.208091519312
LH159,101.564483165716,574.10586841003,250.135337328508
PHT47,753.770301116107,706.662861208764,708.692886159454
NC358,582.768212954008,360.943243651134,531.872178414632
PHW80,504.019287931576,732.63844988288,526.399016895134
I29,293.053426946053,205.614405055734,337.65173850912
SG_30A,217.799430363635,129.764191128613,311.657946337067
A73,553.127311896883,480.638604333138,510.761861046811
NS501,503.5652720763,451.192711661542,502.238932493234
S8324,612.507842495754,432.228536658366,600.466184717682
WXB6,437.150486009457,472.196998058508,444.874230584036
H91,570.143905748648,408.266265007518,569.357443594719
L_139,571.056250834473,690.671775454334,599.360841029882
H113,298.04348736575,257.331737365774,385.773763659891
Oh43,736.839781627462,593.582043062312,681.978034603696
U267Y,64.2448926330995,-0.535894134563364,210.455095736195
ICI_441,604.737191420993,681.365232543618,630.545735847435
B73,732.181488806887,482.106210792928,688.831153691398
P39,397.36685196099,273.04601189404,418.666705126228
PHN47,467.745889990564,365.478340005276,428.055969525798
PHR63,624.570589321163,632.383881719552,602.288809699376
NP899,618.008266535949,670.830029615682,585.757024674262
87916W,540.522780212937,337.827292582882,548.440134755211
LH197,728.613637934465,682.359032796156,656.168147219281
PHBA6,710.030561977524,532.626642779242,678.717592609139
VaW6,308.405415541777,412.540151474814,376.484745893518
R227,476.357091072732,411.266664785292,472.107109501775
NKBCC03,626.784644959742,544.046814890062,581.564443489235
A651,346.92619543978,288.24483949102,347.076303804779
MM501D,629.034132676194,597.091103746132,592.372200202806
PHP38,612.491288429657,739.639296973238,606.244450097567
B68,327.981282390881,474.604132605778,362.313537510911
MS200,564.996206549276,538.570383487604,496.872077791396
DE811,518.748553659936,368.47127702651,520.810408792523
LH198,792.94373594012,545.122403547168,708.858318123903
NC262,479.868771127335,400.161119379266,492.216072630892
A554,488.504055030878,374.83517615684,497.147714126559
LP1_NR_Ht,508.644761151731,346.515220508052,537.886892948456
793,616.977647009346,619.42761690245,617.416476704603
NKH8431,763.100822582667,554.780729473744,689.263844864236
K41,413.172962736835,369.532172012704,450.894746022696
H114,481.529765913562,511.752334313278,498.727619263551
NK740,561.628941379429,605.269707242084,591.839265065029
INBRED_141,606.526444014465,453.7383295853,553.932127614556
Oh33,350.290562915002,306.256781959724,379.683686013372
LH150,644.060701751633,488.546612627614,566.797675032047
NC232,538.123966710452,620.038406905832,446.362745577381
CG10,505.122099781489,489.136654892914,451.774127606074
N28,175.863054771696,319.4743735291,332.703450762927
OQ601,569.230585657947,448.913549666686,593.531807113181
R113,563.484317096377,461.148481899058,555.339231605408
A673,389.310208296625,392.424769617064,403.673402084019
Ky226,329.990987523798,495.26740621948,367.734542920707
CO255,469.218396227275,421.050524437352,438.60408173341
Fe,317.116916528311,292.818952842318,338.771080944488
B164,598.470368366195,380.94319835166,547.805665008991
A663,414.71142500532,430.935101294692,432.392092364581
YE_4,482.777108160534,261.101803196436,491.113394462414
LH128,665.782632123947,602.728373232534,649.359460439491
PHK35,598.257819478833,407.254382836038,603.08027663933
MS1334,454.217156458746,301.36906948663,440.789429858188
YANG,327.730715550349,281.62758867237,379.232757882117
LH260,326.643203028795,440.207288957344,448.817801469149
NC364,431.387054164811,574.799344846356,465.162713017523
L_289,545.493195699488,128.687427522101,531.328960814187
PHRE1,565.978230637357,494.883406760172,514.556816247792
DKIB02,515.486132184278,472.270964897756,500.772768628672
N192,669.163210901381,658.51227423519,649.069320332085
PHN66,607.353156596533,507.645203165386,606.685334834174
B46,446.29698414645,536.474376499498,464.414619556353
LH202,576.817524767003,421.22023048873,584.986871205957
W816G,619.449642651339,664.47843675167,613.98744249288
M162W,469.410795413775,424.552952107262,419.024311846254
W815G,553.358687488947,564.239956760512,570.72069252314
K148,213.804791095746,262.224352250292,275.076939237824
W8304,631.38668720107,599.459634770766,606.959210820897
PHAA0,715.884177872921,665.787216957038,637.499760283057
ND259,508.411793226858,427.729607929378,500.891304218347
A648,577.80379334837,393.911933451686,579.236012268945
HP72-11,239.408176486044,260.523893929806,311.233546418326
CR1HT,562.105864043958,416.389127911034,542.693897837835
LH213,745.74650163106,684.921292540704,662.898710170788
A305,515.737642172285,437.378901064292,494.486166439956
MS221,651.384159580292,551.625500934706,604.942472204343
B8,652.686680113388,471.583968226934,578.611771109262
W811G,588.250518256957,352.098607353916,509.997284475964
