GenotypeID,TotalGrainMassGrams_mean
K47,363.395440246742
K55,413.014732550196
K64,405.007683690849
KO679Y,440.821762099779
KUNG-70,472.720813387471
Ky226,434.711591037177
Ky228,424.831775846081
L_127,524.924447047904
L_135,588.387495443641
L_139,620.891721653923
L_155,517.51131987343
L_289,442.577892232957
L222,507.179284989359
L317,488.148795472963
LH1,544.160068343653
LH119,675.494752468015
LH123HT,639.239306575766
LH127,586.891994022848
LH128,585.601750537532
LH132,714.196366885832
LH143_(Maintainer),526.048011383785
LH145,450.344812070961
LH146Ht,534.399797781595
LH149,583.862779473607
LH150,524.137327994119
LH156,510.052006024707
LH159,585.768794367292
LH160,465.436237281813
LH162,467.351412616787
LH163,488.296447958354
LH164,516.062188199971
LH165,556.255412043334
LH166,587.821216919355
LH167,566.858412623636
LH169Ht,538.799981587093
LH172,556.52259282131
LH175,488.336902098397
LH181,610.938766998025
LH183,631.546525503055
LH184,549.377921506049
LH186,594.441774390975
LH188,614.333572606125
LH189Ht,643.830629838891
LH190,604.451667890612
LH191,641.844986309145
LH192,640.525293842968
LH193,641.016585125103
LH194,652.996875866353
LH195,676.155071617284
LH196,695.334232653699
LH197,686.92043672156
LH198,701.292973402538
LH199,648.988146999358
LH200,684.383215411326
LH202,610.590540524365
LH204,592.788563607051
LH205,611.635740695841
LH206,606.688443322209
LH208,559.694656696838
LH210,554.057064323661
LH211,597.299269761971
LH212Ht,613.341967119996
LH213,618.748345612607
LH214,639.827984929969
LH215,453.015519806549
LH216,650.115955920124
LH217,561.226463662946
LH218,660.919817086157
LH220Ht,499.09606630793
LH222,518.503905446663
LH223,483.623554325952
LH224,541.308266185509
LH225,433.370409537102
LH231,685.912630957177
LH250,519.102034233362
LH252,581.302624366188
LH260,618.531765690868
LH284,597.318362163591
LH299,533.882694825941
LH38,542.858919859841
LH39,600.594832744427
LH51,614.835571173589
LH52,628.531391102318
LH54,629.83857499087
LH57,606.085917466607
LH59,638.358976548225
LH60,532.255402309245
LH61,577.271235300548
LH74,573.706530066767
LH82,518.681519076555
LH93,441.562433979549
LIBC_4,528.577645909167
LP1_NR_Ht,501.065256891735
Lp215D,625.724123396274
LP5,598.622537146878
M14,450.131261085479
M162W,470.235560987773
M37W,419.156672721589
MBPM,529.612617023396
MBST,552.990068874745
MBWZ,603.592898948844
MEF156-55-2,406.329015067034
MM501D,576.437788191823
Mo13,441.756189575596
Mo15W,390.100349631986
Mo16W,433.259213224475
Mo17,662.527101177417
Mo1W,589.229603999902
Mo23W,471.437866606064
Mo24W,433.729202703897
Mo28W,410.474784523305
Mo3,529.671726253006
Mo39,453.849800609594
Mo44,438.601182291618
Mo45,484.905483345125
Mo46,471.077366116136
Mo47,509.925865554685
MoG,468.0685715136
MQ305,622.020467909156
MS106,440.636518583138
MS116,437.023933677364
MS132,470.125254863415
MS1334,433.237681099222
MS142,477.740565970967
MS153,452.704519825396
MS200,463.255316823396
MS221,528.970230012498
MS222,516.839119418597
MS223,489.459244758405
MS224,503.832016640798
MS225,510.693781846438
MS226,528.768395089344
MS24A,464.663626054863
MS67,444.034222458046
MS71,454.23222330904
MS72,490.237841351428
Mt42,408.927138295451
N192,625.206778293459
N193,484.379029407334
N199,444.741417077838
N200,458.126125024806
N201,639.374041520653
N209,517.403947259953
N215,521.764289903336
N217,590.030179238022
N218,605.048832491556
N28,548.515700028286
N28Ht,367.642728103835
N501,530.434795935153
N523,505.932239054594
N527,505.278714971293
N534,495.20645639998
N538,511.007848945906
N540,504.598446175348
N542,500.325651660084
N545,514.954008426468
N6,450.275882874119
N7A,489.71937106588
NC13,438.456525673531
NC230,421.537721018437
NC232,442.973290569721
NC236,471.125302034893
NC250,475.577290732298
NC258,457.981128053188
NC260,507.514725297982
NC262,434.719349646121
NC264,396.881600676486
NC290A,479.081360069151
NC294,529.199345505282
NC298,444.613388293789
NC302,366.193131096313
NC306,476.937685563536
NC310,599.984996821224
NC318,408.303084981195
NC324,457.729423386896
NC326,621.278187791674
NC328,611.163082097223
NC338,406.976564537501
NC340,380.671671370885
NC342,452.715213871022
NC348,385.818468132563
NC350,407.922594411482
NC356,413.91012633641
NC358,384.504809916072
NC362,446.213178561616
NC364,424.526020777588
NC368,554.040885703089
ND167,442.451259031511
ND245,390.81716950901
ND246,405.473922831692
ND247,442.762925406339
ND251,426.088046696174
ND259,451.257554847308
ND260,422.339390408474
ND262,468.638270120811
ND265,460.461405466291
ND283,442.451200540176
ND287,423.367708959306
NK740,655.85742087392
NK794,571.809371349909
NK807,524.687998411705
NK907,508.541993032479
NKBCC03,536.500550563666
NKH8431,538.073169252983
NKNP901,684.914135930626
NO._380,327.805775378776
NORTH_7,486.219480176745
NP87,351.00802649564
NP899,597.585895856429
NQ402,528.527350682413
NQ508,557.115733286086
NS501,447.42045710754
NS701,552.79880762635
NY_159_(Neveh_Yaar),439.105765300396
